The Terminator,Horror,James Cameron,A
Terminator 2 Judgement Day,Action,James Cameron,A
The Invisible Man,Horror,Leigh Whannell,A
Blade,Horror,Stephen Norrington,A
Blade 2,Horror,Guillermo del Toro,A
The Avengers,Sci-Fi,Joss Whedon,A
The Evil Dead,Horror,Sam Raimi,A
Evil Dead 2,Horror,Sam Raimi,A
Army of Darkness,Horror,Sam Raimi,B
Joker,Thriller,Todd Philips,A
Gremlins,Fantasy,Joe Dante,A
Aliens,Sci-Fi,James Cameron,A
Predator,Sci-Fi,John McTiernan,A
The Dark Knight,Action,Christopher Nolan,A
John Wick,Crime,Chad Stahelsk,A
The Lion King,Animation,Roger Allers,A
Shutter Island,Mystery,Martin Scorsese,A
Goodfellas,Crime,Martin Scorsese,A
Casino,Crime,Martin Scorsese,A
John Wick 2,Crime,Chad Stahelsk,A
John Wick 3,Crime,Chad Stahelsk,A
Dragon Ball Super Broly,Action,Tatsuya Nagamine,A
